"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"1Q23","SBAC","SBA Communications Corp","Real Estate",-53.4
"1Q23","ABBV","Abbvie Inc","Health Care",-49.8
"1Q23","INDI","indie Semiconductor Inc","Information Technology",-49.5
"1Q23","UGI","UGI Corp","Utilities",-49.2
"1Q23","LOW","Lowe's Companies Inc","Consumer Discretionary",-48.7
"1Q23","DGX","Quest Diagnostics Inc","Health Care",-48.5
"1Q23","IBP","Installed Building Products Inc","Consumer Discretionary",-48.5
"1Q23","APD","Air Products and Chemicals Inc","Materials",-48.1
"1Q23","IRWD","Ironwood Pharmaceuticals Inc","Health Care",-47.9
"1Q23","RTX","Raytheon Technologies Corp","Industrials",-47.7
"1Q23","PG","Procter & Gamble Co","Consumer Staples",-47.6
"1Q23","CMC","Commercial Metals Co","Materials",-46
"1Q23","MSGS","Madison Square Garden Sports Corp","Communication Services",-45.3
"1Q23","BBWI","Bath & Body Works Inc","Consumer Discretionary",-45.2
"1Q23","PINS","Pinterest Inc","Communication Services",-44.8
"1Q23","SHOP","Shopify Inc","Information Technology",-44
"1Q23","SRE","Sempra","Utilities",-42.9
"1Q23","NI","NiSource Inc","Utilities",-42.6
"1Q23","EVR","Evercore Inc","Financials",-42.4
"1Q23","COLB","Columbia Banking System Inc","Financials",-42
"1Q23","CAH","Cardinal Health Inc","Health Care",-40.7
"1Q23","TREX","Trex Company Inc","Industrials",-40
"1Q23","HUM","Humana Inc","Health Care",-39.6
"1Q23","TXN","Texas Instruments Inc","Information Technology",-39.2
"1Q23","LAD","Lithia Motors Inc","Consumer Discretionary",-38.9
"1Q23","CRL","Charles River Laboratories International Inc","Health Care",-38.8
"1Q23","PGNY","Progyny Inc","Health Care",-38.6
"1Q23","PM","Philip Morris International Inc","Consumer Staples",-36.5
"1Q23","MCHP","Microchip Technology Inc","Information Technology",-36
"1Q23","DELL","Dell Technologies Inc","Information Technology",-35.3
"1Q23","H","Hyatt Hotels Corp","Consumer Discretionary",-35.3
"1Q23","CCEP","Coca-Cola Europacific Partners PLC","Consumer Staples",-35
"1Q23","FLEX","Flex Ltd","Information Technology",-34.5
"1Q23","MANU","Manchester United PLC","Communication Services",-34.4
"1Q23","TFX","Teleflex Inc","Health Care",-34.3
"1Q23","GFF","Griffon Corp","Industrials",-33.6
"1Q23","AZTA","Azenta Inc","Health Care",-33.5
"1Q23","ADBE","Adobe Inc","Information Technology",-33.4
"1Q23","AMGN","Amgen Inc","Health Care",-32.8
"1Q23","IP","International Paper Co","Materials",-32.1
"1Q23","NXPI","NXP Semiconductors NV","Information Technology",-31.8
"1Q23","ARGO","Argo Group International Holdings Ltd","Financials",-31.6
"1Q23","MTZ","MasTec Inc","Industrials",-30.8
"1Q23","CIVI","Civitas Resources Inc","Energy",-30.4
"1Q23","SITE","SiteOne Landscape Supply Inc","Industrials",-30.1
"1Q23","SNA","Snap-On Inc","Industrials",-30.1
"1Q23","TXT","Textron Inc","Industrials",-29.5
"1Q23","ACM","AECOM","Industrials",-28
"1Q23","ABNB","Airbnb Inc","Consumer Discretionary",-27.6
"1Q23","NVS","Novartis AG","Health Care",-27.1
"1Q23","DIS","Walt Disney Co","Communication Services",-26.7
"1Q23","RGA","Reinsurance Group of America Inc","Financials",-26.6
"1Q23","PNW","Pinnacle West Capital Corp","Utilities",-26.4
"1Q23","AXTA","Axalta Coating Systems Ltd","Materials",-26.1
"1Q23","GLPI","Gaming and Leisure Properties Inc","Real Estate",-26.1
"1Q23","LUMN","Lumen Technologies Inc","Communication Services",-25.5
"1Q23","DD","Dupont De Nemours Inc","Materials",-25.3
"1Q23","LAZ","Lazard Ltd","Financials",-25.2
"1Q23","SHW","Sherwin-Williams Co","Materials",-24.7
"1Q23","NVEI","Nuvei Corp","Financials",-24.6
"1Q23","OSW","Onespaworld Holdings Ltd","Consumer Discretionary",-24.2
"1Q23","CEG","Constellation Energy Corp","Utilities",-24.1
"1Q23","MDRX","Veradigm Inc","Health Care",-23.9
"1Q23","CDNA","CareDx Inc","Health Care",-23.1
"1Q23","DBRG","DigitalBridge Group Inc","Real Estate",-22.9
"1Q23","PARA","Paramount Global","Communication Services",-22.9
"1Q23","KEY","KeyCorp","Financials",-22.8
"1Q23","EPAC","Enerpac Tool Group Corp","Industrials",-22.5
"1Q23","AXS","AXIS Capital Holdings Ltd","Financials",-22.1
"1Q23","INSW","International Seaways Inc","Energy",-22.1
"1Q23","GDS","GDS Holdings Ltd","Information Technology",-21.2
"1Q23","VNO","Vornado Realty Trust","Real Estate",-21
"1Q23","ELS","Equity LifeStyle Properties Inc","Real Estate",-20.4
"1Q23","XOM","Exxon Mobil Corp","Energy",-20.4
"1Q23","EEFT","Euronet Worldwide Inc","Financials",-20.2
"1Q23","BCO","Brinks Co","Industrials",-19.9
"1Q23","HIG","Hartford Financial Services Group Inc","Financials",-19.9
"1Q23","BDC","Belden Inc","Information Technology",-19.6
"1Q23","OFC","Corporate Office Properties Trust","Real Estate",-19.6
"1Q23","LPLA","LPL Financial Holdings Inc","Financials",-19.5
"1Q23","VICI","VICI Properties Inc","Real Estate",-19.5
"1Q23","TPX","Tempur Sealy International Inc","Consumer Discretionary",-19.4
"1Q23","IRDM","Iridium Communications Inc","Communication Services",-19.2
"1Q23","MKTX","Marketaxess Holdings Inc","Financials",-19.2
"1Q23","ARGX","argenx SE","Health Care",-19
"1Q23","INGN","Inogen Inc","Health Care",-18.7
"1Q23","ADNT","Adient PLC","Consumer Discretionary",-18.6
"1Q23","DOX","Amdocs Ltd","Information Technology",-18.1
"1Q23","KOS","Kosmos Energy Ltd","Energy",-17.8
"1Q23","NSTG","NanoString Technologies Inc","Health Care",-17.8
"1Q23","OEC","Orion Engineered Carbons SA","Materials",-17.5
"1Q23","VOYA","Voya Financial Inc","Financials",-17.3
"1Q23","AJRD","Aerojet Rocketdyne Holdings Inc","Industrials",-17.2
"1Q23","MLI","Mueller Industries Inc","Industrials",-16.8
"1Q23","DIOD","Diodes Inc","Information Technology",-16.7
"1Q23","LEA","Lear Corp","Consumer Discretionary",-16.6
"1Q23","ALL","Allstate Corp","Financials",-16.5
"1Q23","ZIM","ZIM Integrated Shipping Services Ltd","Industrials",-16.5
"1Q23","VMC","Vulcan Materials Co","Materials",-16.4
"1Q23","PENN","PENN Entertainment Inc","Consumer Discretionary",-16.3
"1Q23","JBHT","J B Hunt Transport Services Inc","Industrials",-16.2
"1Q23","SMCI","Super Micro Computer Inc","Information Technology",-16.1
"1Q23","VMEO","Vimeo Inc","Communication Services",-15.7
"1Q23","CAG","Conagra Brands Inc","Consumer Staples",-15.6
"1Q23","CB","Chubb Ltd","Financials",-15.6
"1Q23","CNS","Cohen & Steers Inc","Financials",-15.6
"1Q23","FHB","First Hawaiian Inc","Financials",-15.6
"1Q23","PVH","PVH Corp","Consumer Discretionary",-15.6
"1Q23","ACT","Enact Holdings Inc","Financials",-15.5
"1Q23","NWSA","News Corp","Communication Services",-15.5
"1Q23","PWR","Quanta Services Inc","Industrials",-15.5
"1Q23","TPB","Turning Point Brands Inc","Consumer Staples",-15.5
"1Q23","MRCY","Mercury Systems Inc","Industrials",-15.3
"1Q23","AXON","Axon Enterprise Inc","Industrials",-15.2
"1Q23","EDU","New Oriental Education & Technology Group Inc","Consumer Discretionary",-15.2
"1Q23","CBRE","CBRE Group Inc","Real Estate",-15.1
"1Q23","DLO","Dlocal Ltd","Financials",-15.1
"1Q23","OSCR","Oscar Health Inc","Financials",-15.1
"1Q23","WEST","Westrock Coffee Co","Consumer Staples",-15
"1Q23","COLD","Americold Realty Trust Inc","Real Estate",-14.5
"1Q23","AMT","American Tower Corp","Real Estate",-14.3
"1Q23","BV","Brightview Holdings Inc","Industrials",-14.2
"1Q23","VSCO","Victoria's Secret & Co","Consumer Discretionary",-14.1
"1Q23","ALRM","Alarm.com Holdings Inc","Information Technology",-14
"1Q23","ZI","ZoomInfo Technologies Inc","Communication Services",-14
"1Q23","L","Loews Corp","Financials",-13.8
"1Q23","WOOF","Petco Health and Wellness Company Inc","Consumer Discretionary",-13.7
"1Q23","ALGM","Allegro Microsystems Inc","Information Technology",-13.5
"1Q23","ECVT","Ecovyst Inc","Materials",-13.4
