"quarter","Ticker","Name","Industry","buy/sell(mil $)"
"3Q21","ZM","Zoom Video Communications Inc","Information Technology",4.5
"3Q21","AFL","Aflac Inc","Financials",4.4
"3Q21","BMRC","Bank of Marin Bancorp","Financials",4.4
"3Q21","FMBH","First Mid Bancshares Inc","Financials",4.4
"3Q21","IBCP","Independent Bank Corp (Michigan)","Financials",4.4
"3Q21","PEB","Pebblebrook Hotel Trust","Real Estate",4.4
"3Q21","WSBF","Waterstone Financial Inc","Financials",4.4
"3Q21","CVCY","Central Valley Community Bancorp","Financials",4.3
"3Q21","GWRE","Guidewire Software Inc","Information Technology",4.3
"3Q21","PCB","PCB Bancorp","Financials",4.3
"3Q21","VTR","Ventas Inc","Real Estate",4.3
"3Q21","AFIB","Acutus Medical Inc","Health Care",4.2
"3Q21","EEFT","Euronet Worldwide Inc","Financials",4.2
"3Q21","GDRX","GoodRx Holdings Inc","Health Care",4.2
"3Q21","KSS","Kohls Corp","Consumer Discretionary",4.2
"3Q21","SHO","Sunstone Hotel Investors Inc","Real Estate",4.2
"3Q21","TGNA","Tegna Inc","Communication Services",4.2
"3Q21","COMM","CommScope Holding Company Inc","Information Technology",4.1
"3Q21","ESNT","Essent Group Ltd","Financials",4.1
"3Q21","IGT","International Game Technology PLC","Consumer Discretionary",4.1
"3Q21","ROST","Ross Stores Inc","Consumer Discretionary",4.1
"3Q21","TGH","Textainer Group Holdings Ltd","Industrials",4.1
"3Q21","TUP","Tupperware Brands Corp","Consumer Discretionary",4
"3Q21","VRTS","Virtus Investment Partners Inc","Financials",4
"3Q21","MAT","Mattel Inc","Consumer Discretionary",3.9
"3Q21","BRP","BRP Group Inc","Financials",3.8
"3Q21","SILK","Silk Road Medical Inc","Health Care",3.8
"3Q21","VRAY","ViewRay Inc","Health Care",3.8
"3Q21","CPLP","Capital Product Partners LP","Industrials",3.7
"3Q21","HST","Host Hotels & Resorts Inc","Real Estate",3.7
"3Q21","SONO","Sonos Inc","Consumer Discretionary",3.7
"3Q21","MRTX","Mirati Therapeutics Inc","Health Care",3.6
"3Q21","NWLI","National Western Life Group Inc","Financials",3.6
"3Q21","RYI","Ryerson Holding Corp","Materials",3.6
"3Q21","DNB","Dun & Bradstreet Holdings Inc","Industrials",3.5
"3Q21","TIMB","Tim SA","Communication Services",3.5
"3Q21","EQC","Equity Commonwealth","Real Estate",3.4
"3Q21","FSTR","L B Foster Co","Industrials",3.4
"3Q21","OMF","OneMain Holdings Inc","Financials",3.4
"3Q21","ON","ON Semiconductor Corp","Information Technology",3.4
"3Q21","RDN","Radian Group Inc","Financials",3.4
